FinInstrmGnlAttrbts.Id,FinInstrmGnlAttrbts.FullNm,FinInstrmGnlAttrbts.ClssfctnTp,FinInstrmGnlAttrbts.CmmdtyDerivInd,FinInstrmGnlAttrbts.NtnlCcy,Issr
XS2186001314,REPSM 4.247 PERP BOND,DBFXQB,false,EUR,5493002YCY6HTK0OUR29
XS2186001314,REPSM 4.247 PERP BOND,DBFXQB,false,EUR,5493002YCY6HTK0OUR29
XS2186001314,REP 4.247 PERP,DBFXQB,false,EUR,5493002YCY6HTK0OUR29
XS2186001314,REPSM 4.247 PERP BOND,DBFXQB,false,EUR,5493002YCY6HTK0OUR29
XS2186001314,REPSM 4.247 PERP,DBFXQB,false,EUR,5493002YCY6HTK0OUR29
XS2186001314,Repsol International Finance BV4.2479999-12-31EUR,DBFXQB,false,EUR,5493002YCY6HTK0OUR29
XS2186001314,REPSM 4.247 9/11/2028-49 (URegS) REPSOL INTL FIN,DBFXQB,false,EUR,5493002YCY6HTK0OUR29
XS2186001314,REPSM 4.247 PERP BOND,DBFXQB,false,EUR,5493002YCY6HTK0OUR29
XS2186001314,REP    4.247 Perp     '28 FRN,DBFXQB,false,EUR,5493002YCY6HTK0OUR29
XS2186001314,REPSM 4.247 PERP,DBFXQB,false,EUR,5493002YCY6HTK0OUR29
XS2189577906,CHFOTN 6.92 06/16/22 BOND,DBFNGR,false,USD,3003006ZC30FH27GHL08
XS2189577906,CHFOTN 6.92 06/16/22 BOND,DBFNGR,false,USD,3003006ZC30FH27GHL08
XS2189577906,CFLD Cayman Investment Ltd6.922022-06-16USD,DBFNGR,false,USD,3003006ZC30FH27GHL08
XS2189577906,CHFOTN  6.920  6/16/22 (URegS) CFLD CAYMAN,DBFNGR,false,USD,3003006ZC30FH27GHL08
XS2204842384,VERISR 3 7/8 07/15/26,DBFNBR,false,EUR,549300VQQCWGISM3N408
XS2204842384,VERISR 3  7/8  07/15/26 BOND,DBFNBR,false,EUR,549300VQQCWGISM3N408
XS2204842384,HELLF 3.875 15/07/26,DBFNBR,false,EUR,549300VQQCWGISM3N408
XS2204842384,VERISR 3  7/8  07/15/26 BOND,DBFNBR,false,EUR,549300VQQCWGISM3N408
XS2204842384,VERISR 3 7/8 07/15/26,DBFNBR,false,EUR,549300VQQCWGISM3N408
XS2204842384,Verisure Holding AB3.8752026-07-15EUR,DBFNBR,false,EUR,549300VQQCWGISM3N408
XS2204842384,VERISR  3.875  7/15/26 c22 (URegS) VERISURE HOLDING,DBFNBR,false,EUR,549300VQQCWGISM3N408
XS2204842384,HELLF  3.875 07/15/26,DBFNBR,false,EUR,549300VQQCWGISM3N408
XS2204842384,HELLF  3.875 07/15/26,DBFNBR,false,EUR,549300VQQCWGISM3N408
XS2204842467,VERISR 3  7/8  07/15/26 BOND ,DBFNBR,false,EUR,549300VQQCWGISM3N408
XS2204842467,Verisure Holding AB3.8752026-07-15EUR,DBFNBR,false,EUR,549300VQQCWGISM3N408
XS2204842467,VERISR  3.875  7/26 c22 (144a) VERISURE HOLDING,DBFNBR,false,EUR,549300VQQCWGISM3N408
XS2206600442,"SANTANDER CONSUMER FINANCE S.A. Issue of EUR 10,000,000 Euro Commercial Paper Notes due January 15, 2021",DYZNXB,false,EUR,5493000LM0MZ4JPMGM90
XS2207606695,"CIE AUTOMOTIVE, S.A. Issue of EUR 600,000 Notes Euro-Commercial Paper due 15 January 2021",DYZXXB,false,EUR,95980020140005381252
XS2224727417,HEROAS 1  1/2  11/18/23 BOND,DBFNCR,false,USD,549300YWBWWXOPOSH694
